"C","P"
"Agua y Crisis Hídrica","Abasto de agua potable"
"Agua y Crisis Hídrica","Sequía"
"Agua y Crisis Hídrica","Desabasto de agua para la actividad agricola"
"Agua y Crisis Hídrica","Tecnificacion del campo"
"Economía y Empleo","Desempleo"
"Economía y Empleo","Informalidad"
"Economía y Empleo","Abandono del campo"
"Economía y Empleo","Falta de apoyo a la actividad turística"
"Economía y Empleo","Apoyo a los agricultores"
"Economía y Empleo","Falta de apoyo a emprendedores"
"Economía y Empleo","Desarrollo económico"
"Economía y Empleo","Apoyos a silvicultores"
"Economía y Empleo","Apoyo a comerciantes"
"Economía y Empleo","Apoyo a migrantes"
"Educación","Rezago educativo"
"Educación","Infraestructura educativa"
"Educación","Problemas educativos"
"Educación","Falta de docentes"
"Gestión territorial y desarrollo urbano","Servicios Básicos"
"Gestión territorial y desarrollo urbano","Mejora de la infraestructura turística"
"Gestión territorial y desarrollo urbano","Ordenamiento ecológico y territorial"
"Gestión territorial y desarrollo urbano","Mejora en las condiciones del espacio publico"
"Gestión territorial y desarrollo urbano","Hacinamiento y abandono de viviendas"
"Gestión territorial y desarrollo urbano","Deficiencia en Servicios Básicos"
"Gestión territorial y desarrollo urbano","Conflictos territoriales"
"Gestión territorial y desarrollo urbano","Inspecciones sanitarias"
"Infraestructura y Transporte","Ampliación y mejora de carreteras"
"Infraestructura y Transporte","Infraestructura vial"
"Infraestructura y Transporte","Falta de infraestructura pública"
"Infraestructura y Transporte","Infraestructura urbana"
"Infraestructura y Transporte","Movilidad"
"Infraestructura y Transporte","Accidentes automovilísticos"
"Infraestructura y Transporte","Infraestructura Hídrica"
"Infraestructura y Transporte","Infraestructura en salud"
"Infraestructura y Transporte","Alumbrado público"
"Infraestructura y Transporte","Aumento y mejora de la infraestructura de drenaje y saneamiento"
"Infraestructura y Transporte","Conectividad de Internet"
"Medio Ambiente","Residuos industriales"
"Medio Ambiente","Control de actividad turística"
"Medio Ambiente","Deterioro de reservas y áreas de conservación"
"Medio Ambiente","Contaminación ambiental"
"Medio Ambiente","Residuos Sólidos"
"Medio Ambiente","Contaminación del agua"
"Medio Ambiente","Derrame de químicos"
"Medio Ambiente","Deforestación"
"Medio Ambiente","Cambio de uso de suelo"
"Medio Ambiente","Aguas residuales"
"Medio Ambiente","Plagas"
"Medio Ambiente","Incendios forestales"
"Medio Ambiente","Contaminación del aire"
"Medio Ambiente","Ambiental Industria minera"
"Medio Ambiente","Contaminacion ambiental"
"Problemas Sociales","Violencia Intrafamiliar"
"Problemas Sociales","Acceso a seguridad social"
"Problemas Sociales","Violencia de género"
"Problemas Sociales","Alto porcentaje de poblacion en situacion de pobreza"
"Problemas Sociales","Violencia a la mujer y la familia"
"Problemas Sociales","Hacinamiento"
"Problemas Sociales","Migración"
"Problemas Sociales","Seguridad Social"
"Problemas Sociales","Embarazo adolescente"
"Riesgos","Desastres Naturales y Cambio Climaítico"
"Riesgos","Derrame o fuga de los ductos de PEMEX"
"Salud","Acceso a seguridad social"
"Salud","Cobertura e infraestructura de salud"
"Salud","Epidemia de dengue"
"Salud","Adicciones"
"Salud","Inspecciones sanitarias"
"Salud","Infraestructura en salud"
"Salud","Problemas de Salud Pública"
"Salud","Acceso a la seguridad social"
"Salud","Sobrepoblacion Canina"
"Seguridad y corrupción","Huachicol"
"Seguridad y corrupción","Violencia"
"Seguridad y corrupción","Delincuencia"
"Seguridad y corrupción","Inseguridad"
"Seguridad y corrupción","Narcomenudeo"
"Seguridad y corrupción","Corrupción de servidores públicos"
"Seguridad y corrupción","Crimen Organizado"
"Seguridad y corrupción","Accidentes automovilísticos"
"Seguridad y corrupción","Homicidios"
"Seguridad y corrupción","Secuestro"
"Seguridad y corrupción","Incidencias delictivas (robo)"
"Seguridad y corrupción","Traífico de sustancias"
